Track_id, Transition_type_no, Transition_type_name, Time_in_channel_(frame), Time_entered_channel_(frame), Time_left_channel_(frame), 
5533, 1, FR, 3.0, 22982.0, 22985.0, 
5533, 1, FR, 2.0, 22975.0, 22977.0, 
5539, 2, FT, 1999.0, 27431.0, 29430.0, 
5540, 1, FR, 30.0, 97999.0, 98029.0, 
5540, 1, FR, 73.0, 97918.0, 97991.0, 
5540, 1, FR, 16.0, 97897.0, 97913.0, 
5540, 1, FR, 32.0, 97857.0, 97889.0, 
5541, 1, FR, 53.0, 2160.0, 2213.0, 
5543, 1, FR, 7.0, 18488.0, 18495.0, 
5543, 1, FR, 7.0, 18459.0, 18466.0, 
5543, 1, FR, 5.0, 18451.0, 18456.0, 
5543, 1, FR, 2.0, 18447.0, 18449.0, 
5543, 1, FR, 4.0, 18436.0, 18440.0, 
5543, 1, FR, 3.0, 18425.0, 18428.0, 
5543, 1, FR, 8.0, 18401.0, 18409.0, 
5543, 1, FR, 5.0, 18384.0, 18389.0, 
5543, 1, FR, 2.0, 18380.0, 18382.0, 
5544, 1, FR, 319.0, 19751.0, 20070.0, 
5545, 1, FR, 901.0, 9282.0, 10183.0, 
5546, 2, FT, 2393.0, 8560.0, 10953.0, 
5547, -1, BR, 1254.0, 14982.0, 16236.0, 
5547, -1, BR, 15.0, 14965.0, 14980.0, 
5548, 1, FR, 148.0, 2759.0, 2907.0, 
5548, 1, FR, 6.0, 2745.0, 2751.0, 
5548, 1, FR, 50.0, 2690.0, 2740.0, 
5548, 1, FR, 36.0, 2648.0, 2684.0, 
5548, 1, FR, 60.0, 2586.0, 2646.0, 
5548, 1, FR, 1162.0, 1422.0, 2584.0, 
5548, 1, FR, 2.0, 1418.0, 1420.0, 
5548, 1, FR, 2.0, 1410.0, 1412.0, 
5548, 1, FR, 40.0, 1366.0, 1406.0, 
5548, 1, FR, 4.0, 1360.0, 1364.0, 
5548, 1, FR, 52.0, 1305.0, 1357.0, 
5548, 1, FR, 92.0, 1209.0, 1301.0, 
5549, 1, FR, 681.0, 865.0, 1546.0, 
5549, 1, FR, 520.0, 334.0, 854.0, 
5550, 1, FR, 103.0, 12409.0, 12512.0, 
5550, 1, FR, 2.0, 12393.0, 12395.0, 
5550, 1, FR, 18.0, 12341.0, 12359.0, 
5551, 1, FR, 2.0, 71273.0, 71275.0, 
5551, 1, FR, 1331.0, 69936.0, 71267.0, 
5552, 1, FR, 2658.0, 19226.0, 21884.0, 
5552, 1, FR, 3.0, 19220.0, 19223.0, 
5552, 1, FR, 56.0, 19157.0, 19213.0, 
5553, 1, FR, 16.0, 6658.0, 6674.0, 
5553, 1, FR, 325.0, 6324.0, 6649.0, 
5553, 1, FR, 3.0, 6317.0, 6320.0, 
5553, 1, FR, 45.0, 6253.0, 6298.0, 
5553, 1, FR, 8.0, 6225.0, 6233.0, 
5553, 1, FR, 2.0, 6209.0, 6211.0, 
5553, 1, FR, 10.0, 6196.0, 6206.0, 
